keyword	patent	title	sentence	section
	US10699719	System and method for taxonomically distinguishing unconstrained signal data segments	 For example, certain combinations of features may signify suitable landing zones in a particular region of engagement, or certain mountain terrain features such as draws may signify key areas of ENEMY activity.	In addition to matching established terrain classes, the subject system and method may be suitably applied by end-users to identify their own signature classes of interest. For example, certain combinations of features may signify suitable landing zones in a particular region of engagement, or certain mountain terrain features such as draws may signify key areas of enemy activity. Training examples may be highlighted by the user, such that similar structures may be then automatically identified in a local area. In another application, certain salient ground features may be identified for use as referential waypoints or landmarks in small dismounted ground unit navigation.
	US10698223	See-through computer display systems	 Similarly, ENEMY fire traces 2104 may be color coded or otherwise distinguished on the displayed digital content.	In embodiments, certain user positions may be known and thus identified in the FOV. For example, the shooter of the friendly fire trace 2108 may be from a known friendly combatant and as such his location may be known. The position may be known based on his GPS location based on a mobile communication system on him, such as another HWC 102. In other embodiments, the friendly combatant may be marked by another friendly. For example, if the friendly position in the environment is known through visual contact or communicated information, a wearer of the HWC 102 may use a gesture or external user interface 104 to mark the location. If a friendly combatant location is known the originating position of the friendly fire trace 2108 may be color coded or otherwise distinguished from unidentified traces on the displayed digital content. Similarly, enemy fire traces 2104 may be color coded or otherwise distinguished on the displayed digital content. In embodiments, there may be an additional distinguished appearance on the displayed digital content for unknown traces.
	US9958674	Eye imaging in head worn computing	 Similarly, ENEMY fire traces 2104 may be color coded or otherwise distinguished on the displayed digital content.	In embodiments, certain user positions may be known and thus identified in the FOV. For example, the shooter of the friendly fire trace 2108 may be from a known friendly combatant and as such his location may be known. The position may be known based on his GPS location based on a mobile communication system on him, such as another HWC 102. In other embodiments, the friendly combatant may be marked by another friendly. For example, if the friendly position in the environment is known through visual contact or communicated information, a wearer of the HWC 102 may use a gesture or external user interface 104 to mark the location. If a friendly combatant location is known the originating position of the friendly fire trace 2108 may be color coded or otherwise distinguished from unidentified traces on the displayed digital content. Similarly, enemy fire traces 2104 may be color coded or otherwise distinguished on the displayed digital content. In embodiments, there may be an additional distinguished appearance on the displayed digital content for unknown traces.
	US10269148	Real-time image undistortion for incremental 3D reconstruction	, military observation of a region to locate an ENEMY or ascertain strategic features), disaster relief, or other time-sensitive operations.	Embodiments generate a 3D reconstruction as a textured model, in real or near-real time as the imagery is obtained, and place that model in a 3D visualization of the earth from live imagery (e.g., still images or video) from a manned or unmanned vehicle. Accordingly, embodiments allow for fast decision making by providing rapid feedback for inspection (e.g., in commercial applications), reconnaissance (i.e., military observation of a region to locate an enemy or ascertain strategic features), disaster relief, or other time-sensitive operations.
ethnicity				
	US8884980	System and method for changing hair color in digital images	 At least one characteristic capable of affecting the result of the hair color product may be obtained, such as a hair texture, an ETHNICITY, a starting hair color, or any other characteristic capable of affecting the result of a hair color product on a subject.	A hair color product associated with the target hair color may be displayed, including a product image, product name, product brand, product color, or any other product information. The output image may represent a simulation of the hair color product on the subject. At least one characteristic capable of affecting the result of the hair color product may be obtained, such as a hair texture, an ethnicity, a starting hair color, or any other characteristic capable of affecting the result of a hair color product on a subject. At least one of the target color distribution and the color transformation may be modified based on the at least one characteristic. The at least one characteristic may be obtained by extracting one or more characteristics from the starting image.
	US10140521	Method, system and apparatus for processing an image	The appearance distance of the head segment in equation (5) is treated with a lower power than the appearance distance of the shoulder segment because the appearance of the head segment is less consistent (as it can appear as either face or hair depending on the direction of the head with respect to the camera) and less discriminative (as people of the same ETHNICITY often have similar skin colour).	The appearance distance of the head segment in equation (5) is treated with a lower power than the appearance distance of the shoulder segment because the appearance of the head segment is less consistent (as it can appear as either face or hair depending on the direction of the head with respect to the camera) and less discriminative (as people of the same ethnicity often have similar skin colour).
	US9483689	Biometric matching technology	 The image processor 230 also may determine the angle, gender, ETHNICITY, and any other detectable attributes of a person within the one or more images based on an analysis of the one or more images.	The image processor 230 processes the one or more images to determine attributes of the images and/or persons within the one or more images. For instance, the image processor 230 may compute the distance between a person within an image and the camera 210 based on an analysis of the captured image. The image processor 230 also may determine the angle, gender, ethnicity, and any other detectable attributes of a person within the one or more images based on an analysis of the one or more images. The image processor 230 also may determine general characteristics (e.g., blurriness, etc.) of the one or more images based on an analysis of the one or more images.
	US10546417	Method and apparatus for estimating body shape	 to infer ETHNICITY).	In many applications, the gender of a person being scanned may be known or the user may specify that information. In these cases, body shape using the appropriate gender-specific body model is estimated (Section 3) When gender is not known there are several options. One can fit a gender-neutral body model that is capable of representing male or female bodies. Second, one can fit using both male and female body shape models and select the one that achieves a lower error of the objective function. Third, one can fit a gender-neutral model and then classify gender directly from the estimated shape coefficients, as described in Section 10. Once gender is known, a refined shape estimate using the appropriate gender-specific shape model is produced. The same strategies can be used for other subpopulations (e.g. to infer ethnicity).
	WO2018175357A1	Methods for age appearance simulation	 The present application relates generally to methods for age appearance simulation and more specifically to utilizing ETHNICITY, age, and gender inputs to predict face shape, color, and/or texture for simulating an age of an individual using statistical models.	 The present application relates generally to methods for age appearance simulation and more specifically to utilizing ethnicity, age, and gender inputs to predict face shape, color, and/or texture for simulating an age of an individual using statistical models. 
face				
	US9020210	Image processing system, image processing apparatus, image processing method, and program	A technique exists which applies a manipulation to a FACE region recognized from an image by using a FACE recognition technique.	A technique exists which applies a manipulation to a face region recognized from an image by using a face recognition technique. In the case of manipulation using a face recognition technique, although only a face region is subject to manipulation in many cases, for example, a manipulation can be applied to the body portion through application of a rule that a body exists below a face region. However, depending on the pose of a human, such manipulation using a face recognition technique often results in a manipulated image that looks unnatural.
	CN106952301A	A kind of RGB D saliency computational methods		
	US10679044	Human action data set generation in a machine learning system	 Large data sets, such as thousands or millions of photos/videos of objects, animals, FACEs, or scenes, are required to enable complex neural networks to train successfully.	As described above, advanced machine learning techniques and training data require computational power and deep learning networks. Large data sets, such as thousands or millions of photos/videos of objects, animals, faces, or scenes, are required to enable complex neural networks to train successfully. However, in some cases, only small data sets are available, which does not provide enough data for a machine learning process. Common methods for generating additional data sets to be used for training data are limited by the number of subjects or environments available or by the similarity between an existing image/video and a desired image/video.
	US9262674	Orientation state estimation device and orientation state estimation method	For the method of recognizing an object of interest within the image, one may employ a technique involving: creating strong classifiers by combining the sums of a plurality of weak classifiers based on rectangular information through AdaBoost; combining the strong classifiers in a cascade; and recognizing a FACE as an object of interest within the image, for example.	For the method of recognizing an object of interest within the image, one may employ a technique involving: creating strong classifiers by combining the sums of a plurality of weak classifiers based on rectangular information through AdaBoost; combining the strong classifiers in a cascade; and recognizing a face as an object of interest within the image, for example. For the image features, scale-invariant feature transform (SIFT) features may be employed (e.g., see NPL 2), for example. SIFT features are configured with 128-dimensional vectors, and are values that are computed for each pixel. Because SIFT features are unaffected by scale changes, rotation, or translation of the object to be detected, they are particularly effective for detecting parts that are rotatable in various directions, e.g., the arms. In other words, SIFT features are suited for the present embodiment which defines posture states through the relative joint positions and angles of two or more parts of interest.
	US10540749	System and method for learning-based image super-resolution	 For example, FACE upsampling or a FACE super-resolution is the task of generating a high-resolution FACE image from a low-resolution input image of the FACE.	Super-resolution is a task aiming to produce a high-resolution image from a low-resolution image. For example, face upsampling or a face super-resolution is the task of generating a high-resolution face image from a low-resolution input image of the face. The face upsampling has widespread application in surveillance, authentication and photography. Face upsampling is particularly challenging when the input face resolution is very low (e.g., 12×12 pixels), the magnification rate is high (e.g. 8×), and/or the face image is captured in an uncontrolled setting with pose and illumination variations.
facial				
	US9148463	Methods and systems for improving error resilience in video delivery	 For example, the Microsoft® Kinect camera system generates detailed models of both a subject's face (detecting over 100 FACIAL landmarks) and body position (skeletal joints) in less than a frame time.	In recent years, there have been advances in computer analysis and modeling of the human body. For example, the Microsoft® Kinect camera system generates detailed models of both a subject's face (detecting over 100 facial landmarks) and body position (skeletal joints) in less than a frame time. Additionally, other systems are also available with varying degrees of analysis capability.
	US10586372	Online modeling for real-time facial animation	 No. 15/641,428, entitled “Online Modeling For Real-Time Facial Animation,” which further is a continuation of, and claims priority to, U.	This is a continuation of, and claims priority to, U.S. patent application Ser. No. 15/641,428, entitled “Online Modeling For Real-Time Facial Animation,” which further is a continuation of, and claims priority to, U.S. patent application Ser. No. 15/167,966, entitled “Online Modeling For Real-Time Facial Animation,” which further is a continuation of, and claims priority to, U.S. patent application Ser. No. 13/912,378, all of which are hereby incorporated by reference in their entirety.
	US9483689	Biometric matching technology	, fingerprints, retina scans, FACIAL images, etc.	A typical biometric matching system includes a database of biometric information (e.g., fingerprints, retina scans, facial images, etc.) about individuals. To identify or authenticate a sample of biometric information, the typical biometric matching system compares the sample with entries in the database one by one until a match is found. As a result, the time to find a matching entry grows linearly and may be time consuming when the database includes many entries.
	US7426292	Method for determining optimal viewpoints for 3D face modeling and face recognition	, “Realistic Modeling for Facial Animations,” Proceedings of SIGGRAPH 95, pages 55-62, August, 1995, or the availability of high quality of texture images as a substitute for exact face geometry, see Guenter et al.	In computer graphics, it is still a fundamental problem to synthetically construct realistic human heads, particularly the face portion. Hereinafter, when referring to ‘head’ or ‘face’, the invention is most interested in that portion of the head extending from chin-to-brow, and ear-to-ear. Most prior art methods require either extensive manual labor by skilled artists, expensive active 3D scanners, Lee et al., “Realistic Modeling for Facial Animations,” Proceedings of SIGGRAPH 95, pages 55-62, August, 1995, or the availability of high quality of texture images as a substitute for exact face geometry, see Guenter et al., “Making Faces,” Proceedings of SIGGRAPH 98, pages 55-66, July 1998, Lee et al., “Fast Head Modeling for Animation,” Image and Vision Computing, Vol. 18, No. 4, pages 355-364, March 2000, Tarini et al., “Texturing Faces,” Proceedings Graphics Interface 2002, pages 89-98, May 2002.
	US9076703	Method and apparatus to use array sensors to measure multiple types of data at full resolution of the sensor	, FACIAL recognition) in the images and finds task-relevant objects to modified or augmented (such as in augmented reality).	Computer vision has become a field that is integral to different imaging applications running on several devices that are used daily. Computer vision goes to the next step after imaging, which is using the information in the image to achieve different tasks defined by the user. For example, computer vision applications find faces (e.g., facial recognition) in the images and finds task-relevant objects to modified or augmented (such as in augmented reality). A prime example of these systems are the Human Natural User Interfaces (HNUI). These interfaces are used in many devices that are becoming more and more adopted by users.
facial recognition				
	US9483689	Biometric matching technology	In some implementations, a multi-dimensional approach that leverages FACIAL RECOGNITION technology is used to identify a suspect in a crowd in real time.	In some implementations, a multi-dimensional approach that leverages facial recognition technology is used to identify a suspect in a crowd in real time. The approach converts a sequential face matching process to a parallel process, leveraging flexible computing and storage resources in the cloud for parallel processing while constraining the number of resources to be used in the cloud to optimize expenses without sacrificing performance.
	WO2015132575A1	Apparatus and method for generating and using a subject-specific statistical motion model	 The images may also be two dimensional; this may be appropriate, for example, in a FACIAL RECOGNITION systems.	 The geometric representations may, for example, comprise images. The images may be three-dimensional, especially for representing the three-dimensional shape of the anatomical structure. The images may also be two dimensional; this may be appropriate, for example, in a facial recognition systems. The images may be obtained from one or more suitable imaging modalities, such as (without limitation) magnetic resonance imaging (MRI), X-ray computed tomography (CT), positron emission tomography (PET), ultrasound, photo-acoustic imaging (PAT), optical, X-ray or gamma ray imaging, optical microscopy, electron microscopy, etc. 
	US10534808	Architecture for responding to visual query	 The plurality of visual query search processes includes at least: optical character recognition (OCR), FACIAL RECOGNITION, and a first query-by-image process other than OCR and FACIAL RECOGNITION.	According to some embodiments, there is computer-implemented method of processing a visual query at a server system. A visual query is received from a client system. The visual query is processed by sending the visual query to a plurality of parallel search systems for simultaneous processing. Each of the plurality of search systems implements a distinct visual query search process of a plurality of visual query search processes. The plurality of visual query search processes includes at least: optical character recognition (OCR), facial recognition, and a first query-by-image process other than OCR and facial recognition. A plurality of search results is received from one or more of the plurality of parallel search systems. At least one of the plurality of search results is sent to the client system.
	US9141855	Accelerated object detection filter using a video motion estimation module	 For example, in FACIAL RECOGNITION applications, the reference vector may represent a random representative face or a face representing a statistical mean of faces, or the reference vector may be a zero-valued reference vector.	As described in greater detail below, such a calculation may be repurposed for object detection pre-filtering. For example, an individual region of an input image may be selected or determined. The above calculation may be repurposed to determine a computation that sums the dot product of a weighting vector and a vector of the absolute value difference of a vector representing the region and a reference vector. In this context, the reference vector may be chosen to enhance the classification of the region as likely including an object or portion of an object of interest (i.e., passing the linear classifier pre-filtering) or unlikely to include an object or portion of an object of interest (i.e., failing the linear classifier pre-filtering and being rejected). For example, in facial recognition applications, the reference vector may represent a random representative face or a face representing a statistical mean of faces, or the reference vector may be a zero-valued reference vector. Similarly, in this context, the weighting vector may be pre-trained to enhance object recognition pre-filtering. For example, in facial recognition applications, the weighting vector may be pre-trained by a number of images including faces and a number of images not including faces.
	US9734433	Estimating photometric properties using a camera and a display screen	 The map is then used by image processing routines to better identify and track foreground objects, such as FACIAL RECOGNITION and tracking routines, object recognition and tracking routines, area surveillance and motion detection routines, etc.	Having identified which regions contain specular surfaces and which regions contain diffuse surfaces, a map of the room is generated. The map may include scalable and/or non-scalable boundaries defining regions, and information for each region characterizing the region as diffuse, specular, or some degree there between, and providing surface normal for the regions. Boundaries of the specular regions may be refined by determining areas of the images that share similar local image characteristics such as color and edges. The values assigned to a region characterizing its specularity may, for example, be a value approximating its shininess based on the degree of interdependence between the variations in luminance from the region and the variations in illumination from the display 116. The map is then used by image processing routines to better identify and track foreground objects, such as facial recognition and tracking routines, object recognition and tracking routines, area surveillance and motion detection routines, etc.
female				
	US10586372	Online modeling for real-time facial animation	 The identity PCA model may be computed from a data set consisting of 100 male and 100 FEMALE head scans of young adults, such as the data provided described by V.	An exemplary implementation of one embodiment of the present disclosure may employ a blendshape model of 34 blendshapes. The identity PCA model may be computed from a data set consisting of 100 male and 100 female head scans of young adults, such as the data provided described by V. Blanz and T. Vetter in “A morphable model for the synthesis of 3D faces”, SIGGRAPH 1999. 50 PCA basis vectors could be used to approximate the neutral expression. The corrective deformation fields may be represented by 50 Laplacian eigenvectors for each coordinate. Suitable parameters for the optimizations as discussed above may be set to β2=0.5, β2=0.1, and β3=0.001, as well as λ1=10 and λ2=20, and σ=10 for the coverage threshold.
	US9808549	System for detecting sterile field events and related methods	 Ten participants (77%) were FEMALE and three (23%) were male.	Gonzalez and Sole [22] recently carried out a study where Baccalaureate nursing students with prior documentation of competency demonstrated performance of urinary catheterization on a task trainer. The procedure was recorded and breaches in technique were identified through review of the digital recordings. Data was available for 13 participants. Participants ranged in age from 21-43 years (mean 26.6). The majority of participants (11; 85%) were right handed. Ten participants (77%) were female and three (23%) were male. The participants' mean self-rating of confidence was 3.6 on a 5-point scale (range 3-5), indicating some confidence in performing the skill. Examination of the video recorded data showed that 10 participants (77%) breached aseptic technique in at least one category, and in some instances several categories.
	US9483689	Biometric matching technology	 The system 300 also may analyze faces detected within the multiple images and determine whether features of the detected faces have characteristics that suggest the face is of a FEMALE or a male.	In some implementations, the system 300 may analyze the camera data (e.g., the multiple images) and determine criteria relevant to the captured images based on the analysis. In these implementations, the system 300 may analyze the camera data to determine a distance of one or more objects (e.g., persons) within the multiple images. The system 300 also may analyze faces detected within the multiple images and determine whether features of the detected faces have characteristics that suggest the face is of a female or a male. In this regard, the system 300 may determine the gender of the detected faces within the multiple images. The system 300 further may perform skin tone processing of faces detected within the multiple images and determine ethnicity of persons within the multiple images based on the skin tone processing.
	US10436342	Flow meter and related method	 A male latch component is connected to the first housing component opposite the pivot connection and a FEMALE latch component is coupled to the second housing component opposite the pivot connection.	In certain embodiments of the present disclosure, a system for controlling flow through a drip chamber includes a drip chamber holster, an imaging device, a flexible tube, and a valve. The drip chamber holster receives and secures a drip chamber. The imaging device is configured to capture images of the drip chamber and create image data from the captured images. The flexible tube is connected to the drip chamber and the lumen defined by the tube is in fluid communication with the drip chamber. The valve is axially disposed around a portion of the flexible tube and controls flow through the tube and ultimately the drip chamber. The valve includes first and second casing components pivotally connected to each other and complimentarily align to form an enclosure when in a closed position. Inlet and outlet holes are defined in the valve casing when it is closed and a plunger hole is defined in the first casing component. A male latch component is connected to the first housing component opposite the pivot connection and a female latch component is coupled to the second housing component opposite the pivot connection. A substantially incompressible filler is enclosed within the casing. The filler defines a conduit, sized for a specific tube, which connects the inlet and the outlet holes of the valve casing. There are a plurality of variations in the stiffness of the filler. The portion of the filler proximate the tube may be stiffer than the surrounding filler. The plunger is longitudinally aligned with the plunger hole and attached to the actuator. The actuator is configured to actuate the plunger into and out of the plunger hole to engage the filler. Changes in displacement by the plunger alter the forces on the section of the tube within the casing resulting in the lumen changing size. The area of the head of the plunger can be smaller than the longitudinal cross-section of the lumen disposed within the housing.
	US9448164	Systems and methods for noninvasive blood glucose and other analyte detection and measurement using collision computing	 The use of multiple illumination-detection pairs to target the same layer in the skin tissue, as described above (that is by increasing the tomographic states), can expand the glucose measurement capability and increase the ability of the system to compensate for male and FEMALE subjects with varying skin thickness, surface texture, and changes due to aging, gender, and/or ethnic differences.	The probe of FIG. 91, as detailed in FIG. 92, is designed such that targeting of different skin tissue layers by tomographic sequences EVa1, EVa2, . . . , EVax; DVb1, DVb2, . . . DVby; and, SVc1, SVc2, . . . SVcz can be verified based on examination of acquired spectra based on absorption of spectral bands known to be associated with biochemical compounds other than the analyte of interest, (such as by examination of intensity and absorbance amplitude profiles of the fat, protein and collagen bands as shown in FIG. 93 for different ring illuminations). Profiles of absorption gradients leading to the assessment of acceptable feature pairs is a function of the tomographic sequence and the results of the above expression, based on an anatomical and physiological understanding of skin tissue. The use of multiple illumination-detection pairs to target the same layer in the skin tissue, as described above (that is by increasing the tomographic states), can expand the glucose measurement capability and increase the ability of the system to compensate for male and female subjects with varying skin thickness, surface texture, and changes due to aging, gender, and/or ethnic differences.
foot traffic				
	US9734388	System and method for detecting, tracking and counting human objects of interest using a counting system and a data capture device	 Again, the types of sensors 1220 and video sensors 1246 should not be considered limiting, and it should be obvious that any sensor 1220, including image capturing devices, thermal sensors and infrared video devices, capable of counting the total FOOT TRAFFIC and generating a starting frame, an ending frame, and a direction will be compatible with the present system and may be adopted.	For exemplary purposes, the sensor 1220 may include at least one stereo camera with two or more video sensors 1246 (similar to the sensor shown in FIG. 2), which allows the camera to simulate human binocular vision. A pair of stereo images comprises frames 1248 taken by each video sensor 1246 of the camera. The sensor 1220 converts light images to digital signals through which the counting system 1330 obtains digital raw frames 1248 comprising pixels. Again, the types of sensors 1220 and video sensors 1246 should not be considered limiting, and it should be obvious that any sensor 1220, including image capturing devices, thermal sensors and infrared video devices, capable of counting the total foot traffic and generating a starting frame, an ending frame, and a direction will be compatible with the present system and may be adopted.
	US10733427	System and method for detecting, tracking, and counting human objects of interest using a counting system and a data capture device	 Again, the types of sensors 1220 and video sensors 1246 should not be considered limiting, and it should be obvious that any sensor 1220, including image capturing devices, thermal sensors and infrared video devices, capable of counting the total FOOT TRAFFIC and generating a starting frame, an ending frame, and a direction will be compatible with the present system and may be adopted.	For exemplary purposes, the sensor 1220 may include at least one stereo camera with two or more video sensors 1246 (similar to the sensor shown in FIG. 2), which allows the camera to simulate human binocular vision. A pair of stereo images comprises frames 1248 taken by each video sensor 1246 of the camera. The sensor 1220 converts light images to digital signals through which the counting system 1330 obtains digital raw frames 1248 comprising pixels. Again, the types of sensors 1220 and video sensors 1246 should not be considered limiting, and it should be obvious that any sensor 1220, including image capturing devices, thermal sensors and infrared video devices, capable of counting the total foot traffic and generating a starting frame, an ending frame, and a direction will be compatible with the present system and may be adopted.
	US10776655	Estimating color of vehicles on a roadway	 Other public cameras may also be installed on an “as needed” basis as FOOT TRAFFIC in area increases, new government facilities are constructed, etc.	Installation of traffic cameras is usually on an “as needed” basis. As traffic in an area increases, a jurisdiction (e.g., a state department of transportation, a city, etc.) may install a camera to monitor the traffic. Thus, traffic cameras can have varied capabilities and configurations. For example, if a traffic camera is installed in an intersection and 5 years later another traffic camera installed in an adjacent intersection, it is likely the capabilities and configuration of the other (new) camera is far superior. Other public cameras may also be installed on an “as needed” basis as foot traffic in area increases, new government facilities are constructed, etc. Private cameras may also be installed in different locations at different times.
	US10268223	System and method for managing energy	In an illustrative embodiment, a method of managing energy consumption in an enclosed spaced includes the step of providing temperature and FOOT TRAFFIC data to a plan generator.	In an illustrative embodiment, a method of managing energy consumption in an enclosed spaced includes the step of providing temperature and foot traffic data to a plan generator. The method further includes the steps of generating an energy plan based on the temperature and foot traffic data and controlling one or more energy consuming devices based on the energy plan.
	US10545500	Model for determining drop-off spot at delivery location	 Contextual data 604 may include, for example, current and future weather conditions, crime statistics of the neighborhood surrounding the delivery destination, and FOOT TRAFFIC patterns along walkways near the delivery destination, among other data.	 Contextual data 604 may include, for example, current and future weather conditions, crime statistics of the neighborhood surrounding the delivery destination, and foot traffic patterns along walkways near the delivery destination, among other data. Based on this information, ANN 610 may be configured to consider, for example, the safety of the determined drop-off spots. For example, when contextual data 604 indicates incoming rain, ANN 610 may determine that, in spite of blocking door 724, the object is best left at drop-off spot 718 atop the stairs rather than at drop- off spots  720 or 722 within lower areas where rainwater might pool, as illustrated in FIG. 7D. In another example, when contextual data 604 indicates that that delivery destination 702 is located in a neighborhood with a high rate of crime or on a street with foot traffic above a threshold foot traffic value, ANN 610 may determine a drop-off spot in the backyard, behind fence 726. In some embodiments, this determination may take place prior to dispatch of the delivery vehicle so that a delivery vehicle capable of traversing fence 726 may be dispatched (e.g., an aerial delivery vehicle).
fraud				
	US10498401	System and method for guiding card positioning using phone sensors	 Examples of tasks that may be performed at least partially using machine-learning models include various types of scoring; bioinformatics; cheminformatics; software engineering; FRAUD detection; customer segmentation; generating online recommendations; adaptive websites; determining customer lifetime value; search engines; placing advertisements in real time or near real time; classifying DNA sequences; affective computing; performing natural language processing and understanding; object recognition and computer vision; robotic locomotion; playing games; optimization and metaheuristics; detecting network intrusions; medical diagnosis and monitoring; or predicting when an asset, such as a machine, will need maintenance.	Different machine-learning models may be used interchangeably to perform a task. Examples of tasks that may be performed at least partially using machine-learning models include various types of scoring; bioinformatics; cheminformatics; software engineering; fraud detection; customer segmentation; generating online recommendations; adaptive websites; determining customer lifetime value; search engines; placing advertisements in real time or near real time; classifying DNA sequences; affective computing; performing natural language processing and understanding; object recognition and computer vision; robotic locomotion; playing games; optimization and metaheuristics; detecting network intrusions; medical diagnosis and monitoring; or predicting when an asset, such as a machine, will need maintenance.
	US7693806	Classification using a cascade approach	 Another embodiment is a credit card FRAUD detection system that is optimized to have a low false positive rate for identifying good transactions as FRAUDulent ones in order to prevent inconvenience to the credit card customer.	In one aspect, the invention is embodied in an e-mail spam filtering system where the classifier has been optimized to have a low false positive rate for identifying good messages as spam. Other embodiments for spam filtering can include, but are not limited to: an instant messaging service, where the classifier has been optimized to have a low false positive rate for classifying good instant messages as spam; a telemarketing screening service, where the classifier is optimized to have a low false positive rate for identifying a phone call that is a non-telemarketing call as a telemarketing call; a device display pop-up blocker that is optimized to have a low false positive rate for identifying relevant pop-ups, such as warnings, reminders, application windows, as spam pop-ups; and an audio stream filter for classifying music from advertisements and/or talk, that can be optimized for a low false positive rate for identifying music as advertising and/or talk if a user wants to avoid hearing ads and talk but doesn't want a song to be cut off in the middle. In another embodiment, a cancer screening system is optimized to have a low false negative rate for positive samples. Another embodiment is a credit card fraud detection system that is optimized to have a low false positive rate for identifying good transactions as fraudulent ones in order to prevent inconvenience to the credit card customer. A customer who was frequently being denied when trying to use a credit card may stop using the card. In another fraud detection system, a credit card company may have a fraud detection system that is set to a low false negative rate for identifying patterns of charges across many accounts as fraud that are not actually fraudulent. Detecting macro fraudulent patterns can assist security in focusing their investigations and prevent organized credit card fraud. The invention can also be embodied in an intrusion detection system, such as in a high security environment. For example, a nuclear power plant employs biometrics to identify people that are authorized to enter the facility. It is important to keep unauthorized people out of the facility. The biometric system can be optimized to have a low false negative rate for identifying unauthorized users as authorized. Along similar lines a high security computing environment may be optimized for a low false negative for classifying an intruder (login, connection, download, application) as legitimate. It should be appreciated that the above embodiments are exemplary and are not intended to limit the scope of the invention to particular scenarios, operating conditions or applications. The invention is applicable to any classifier where there is need to optimize for a specific region of interest. Furthermore, the data being classified can include any of, but are not limited to, domains, web pages, Uniform Resource Locators(URL), text, images, videos, audio, documents, files, directories, data structures and the like.
	US10698995	Method to verify identity using a previously collected biometric image/data	In some embodiments, the system may reward users who successfully utilize the authentication system or who otherwise take FRAUD preventing measures.	In some embodiments, the system may reward users who successfully utilize the authentication system or who otherwise take fraud preventing measures. Such rewards may include leaderboards, status levels, reward points, coupons or other offers, and the like. In some embodiments, the authentication system may be used to login to multiple accounts.
	US10055733	Biometric chain of provenance	The potential for FRAUD in financial transactions has increased significantly due to the increasing diversity in the means for transactions to be performed.	The potential for fraud in financial transactions has increased significantly due to the increasing diversity in the means for transactions to be performed. For example, it is often challenging to ensure that biometrics acquired by a biometrics device are really those of an individual at the biometrics device. Moreover, in certain contexts, it may be necessary or more acceptable to acquire biometric of a moving individual without constraining the individual's advance or movements. However, conventional systems are typically not very robust against fraud and/or mistake when biometric acquisition is decoupled from traditional access control systems, or when individuals whose biometrics are being acquired are not rigidly constrained for the biometric acquisition process. Some ability to track an individual across one or more transactions may be a way to reduce fraudulent activity.
	US10657457	Automatic selection of high quality training data using an adaptive oracle-trained learning framework	 A system that automatically performs email FRAUD identification based on data sampled from a data stream is an example of a system that processes dynamic data.	Data being continuously sampled from a data stream representing data collected from a variety of online sources (e.g., websites, blogs, and social media) is an example of dynamic data. A system that automatically performs email fraud identification based on data sampled from a data stream is an example of a system that processes dynamic data. Analysis of such dynamic data typically is based on data-driven models that can be generated using machine learning. One type of machine learning is supervised learning, in which a statistical predictive model is derived based on a training data set of examples representing the modeling task to be performed.
friend				
	EP3579196A1	Human clothing transfer method, system and device		
	US9275499	Augmented reality interface for video	 The acquiring and retrieving of imagery may be performed by different persons, including FRIENDs or clients for example.	In a second embodiment, the metadata may include annotations by a server or a user acquiring the video. The annotations may include details of a person, an object, or a location being photographed. The annotations may help users share their experiences and/or recommended locations. The acquiring and retrieving of imagery may be performed by different persons, including friends or clients for example.
	US9448164	Systems and methods for noninvasive blood glucose and other analyte detection and measurement using collision computing	 The analyte concentration 40 can be output to the user, or further used in computation of clinical, diagnostic, screening, therapy effectiveness or regimen monitoring or wellness analytics; alarms provided to users, their care-team, FRIENDs and family; population analytics; and longitudinal analysis.	As shown in FIG. 78, using tissue spectra, the NRSEGs are computed for all feature pairs for all illumination states and are averaged over all repeats of the respective illumination states on a feature pair by feature pair basis. For each of the feature pairs for each sample found to be acceptable as defined below, a Normalized Absorption Gradient (NAG) numerical value is computed (step 20) to select the appropriate mapped individual projector curve, from a set of several mapped individual projectors curves included in a mapped projector curve set. In some embodiments, there may be only one individual mapped projector curve in the mapped projector curve set. Once the applicable mapped projector curve is selected, it is used to transform the NRSEG into an analyte concentration in step 30. The analyte concentration 40 can be output to the user, or further used in computation of clinical, diagnostic, screening, therapy effectiveness or regimen monitoring or wellness analytics; alarms provided to users, their care-team, friends and family; population analytics; and longitudinal analysis. Details on processes for computing NAG, developing and using the mapped projector curve set (step 25) are described below.
	WO2014005022A1	Individualizing generic communications	" For the ""FRIENDs"" dimension of the IV, work colleagues were used."	"[0062] Highly popular (but neutral on other aspects, e.g., beauty, liking) female and male celebrities were chosen from a survey in the pre-study. For the ""friends"" dimension of the IV, work colleagues were used. As with celebrities, it should be noted that there are also other categories of people, e.g., more casual friends, who are also personally familiar to a person, thus the study is specific to the choices made. Using the participants' company calendars, ""friends"" were selected based on whether the participant meets the friend face-to-face regularly, both of them have at least one point of contact such as a common project, and if they were of the same gender. "
